Neighbourhood,From_Date,To_Date,Crime_Code,Crime_Type,Ward,City,FID
Fredericton South,1483574400000,1485388800000,2120,B&E NON-RESIDNCE,7,Fredericton,1
Fredericton South,1488585600000,1488758400000,2120,B&E NON-RESIDNCE,7,Fredericton,2
Fredericton South,1494115200000,,2120,B&E NON-RESIDNCE,12,Fredericton,3
Fredericton South,1497916800000,1498003200000,2120,B&E NON-RESIDNCE,12,Fredericton,4
Fredericton South,1499558400000,1499644800000,2120,B&E NON-RESIDNCE,7,Fredericton,5
Fredericton South,1483660800000,1483920000000,2170,MISCHIEF TO PROP,7,Fredericton,6
Fredericton South,1486166400000,,2170,MISCHIEF TO PROP,7,Fredericton,7
Fredericton South,1488931200000,,2170,MISCHIEF TO PROP,11,Fredericton,8
Fredericton South,1491177600000,,2170,MISCHIEF TO PROP,7,Fredericton,9
Fredericton South,1492041600000,1492041600000,2170,MISCHIEF TO PROP,11,Fredericton,10
Fredericton South,1492128000000,1492128000000,2170,MISCHIEF TO PROP,7,Fredericton,11
Fredericton South,1495584000000,1495670400000,2170,MISCHIEF TO PROP,12,Fredericton,12
Fredericton South,1498089600000,,2170,MISCHIEF TO PROP,11,Fredericton,13
Fredericton South,1498262400000,,2170,MISCHIEF TO PROP,11,Fredericton,14
Fredericton South,1500595200000,1500681600000,2170,MISCHIEF TO PROP,12,Fredericton,15
Fredericton South,1504224000000,,2170,MISCHIEF TO PROP,11,Fredericton,16
Fredericton South,1491436800000,1491436800000,2170,MISCHIEF TO PROP,11,Fredericton,17
Fredericton South,1494374400000,,2140,THEFT BIKE<$5000,11,Fredericton,18
Fredericton South,1485734400000,1485734400000,2142,THEFT FROM MV < $5000,7,Fredericton,19
Fredericton South,1486080000000,,2142,THEFT FROM MV < $5000,7,Fredericton,20
Fredericton South,1487980800000,1488326400000,2142,THEFT FROM MV < $5000,7,Fredericton,21
Fredericton South,1489536000000,1489622400000,2142,THEFT FROM MV < $5000,12,Fredericton,22
Fredericton South,1489449600000,1490140800000,2142,THEFT FROM MV < $5000,12,Fredericton,23
Fredericton South,1492387200000,,2142,THEFT FROM MV < $5000,7,Fredericton,24
Fredericton South,1496880000000,,2142,THEFT FROM MV < $5000,7,Fredericton,25
Fredericton South,1497830400000,,2142,THEFT FROM MV < $5000,7,Fredericton,26
Fredericton South,1501027200000,1501113600000,2142,THEFT FROM MV < $5000,11,Fredericton,27
Fredericton South,1501372800000,,2142,THEFT FROM MV < $5000,11,Fredericton,28
Fredericton South,1503705600000,,2142,THEFT FROM MV < $5000,12,Fredericton,29
Fredericton South,1504137600000,,2142,THEFT FROM MV < $5000,12,Fredericton,30
Fredericton South,1507593600000,1507593600000,2142,THEFT FROM MV < $5000,7,Fredericton,31
Fredericton South,1490745600000,1491264000000,2132,THEFT FROM MV > $5000,7,Fredericton,32
Fredericton South,1483488000000,,2140,THEFT OTH <$5000,11,Fredericton,33
Fredericton South,1483488000000,,2140,THEFT OTH <$5000,11,Fredericton,34
Fredericton South,1483660800000,1483660800000,2140,THEFT OTH <$5000,11,Fredericton,35
Fredericton South,1484784000000,,2140,THEFT OTH <$5000,11,Fredericton,36
Fredericton South,1484870400000,1485129600000,2140,THEFT OTH <$5000,12,Fredericton,37
Fredericton South,1485820800000,,2140,THEFT OTH <$5000,12,Fredericton,38
Fredericton South,1485993600000,1485993600000,2140,THEFT OTH <$5000,7,Fredericton,39
Fredericton South,1488326400000,,2140,THEFT OTH <$5000,12,Fredericton,40
Fredericton South,1489104000000,1489104000000,2140,THEFT OTH <$5000,11,Fredericton,41
Fredericton South,1489190400000,,2140,THEFT OTH <$5000,7,Fredericton,42
Fredericton South,1490227200000,,2140,THEFT OTH <$5000,11,Fredericton,43
Fredericton South,1490745600000,1490745600000,2140,THEFT OTH <$5000,11,Fredericton,44
Fredericton South,1491264000000,,2140,THEFT OTH <$5000,11,Fredericton,45
